,deck_code,matches_played
0,CIBQIAIDAQMB6IIFAEAQWFQ6EYYACAQBAIBACAIDDIBQCAIEFIZAEAIBAM2QCAQBA4,9325
1,CIBAIAIEDMSC2NAHAIDAQCY2DQQS2OQBAIBAMFBLAIAQCBA7AIBAMBJR,7006
2,CIBQCAQGCYDQCAABBELB2JRHFMBAEAAJBIBQCAQGBABACAAVDIAQEAAHAEBACAALGM,4853
3,CIBQGAQGBALDUBYBAAAQSGQ5E4VTGAYCAADASCQAAEAQCABJ,4456
4,CIBAGAIDCQTTOCIBAQAQYHBGE4UC2NBWAIAQCAZDAEBAIAQA,2940
5,CIBAKAIBBMLB4JRQAUAQGBAYDIPSCAYCAEBTGNICAEAQIKQBAIAQEAA,2878
6,CIBQGAIBAMLCEBIBAUPCQMBRGUBAEBIEAYBQCAQBA4BQCBIHBMMQCAQFAEAA,2742
7,CIBQCAIFFABAEBIIBIDAEBQ5E4WC6NJYAMBAEBRFGYBQCBIZDU3ACAQFA4AQCAQGDY,2497
8,CICAKAIEDMPSIMJUAEBAIBQDAEBQILRXAQBAGAIHBAEQAAIBAEBRM,2493
9,CIBAGAIDAQPSCBYBAEBQOCYWEYUTAAYBAEBTKAYBAECB4KQBAIAQEAA,2352
10,CIBQKAIFCQUCWMJUAUAQABQPDIQSUAQCAAAQSAIBAECQCAQBAECSCAICAACQ,1950
11,CIBQKAIBAMERIGBSAYAQKAIDDUUCWMIBAIAQOAICAECQ6FAA,1602
12,CIBQGAIBAMLCEBIBAUPCQMBRGUBQEBIBAQDAEAIBAUDQCAQBA4AQGAIFBMMSW,1546
13,CIBQEAIFDUUACAQFBICQEBQ5E4XTKOADAIBAMJJMAIAQKGJWAIBAKBYIAIBQCBJLFY2ACAQFAM,1390
14,CIBAIAIEDMSCWNAIAIDAQCY2DQQS2MJ2AIAQCBA7AEBAMFAA,1349
15,CICAIAICBAHS4OAEAEBSILRWG4AQEAQFAEBAGCICAEAQGKQDAEBAWJJRAEBACAYKCM,1341
16,CIBQKAQGBALCMOJ2AYAQGAQPDYSSQLYCAIBQGBAAAEAQEBQR,1129
17,CIBQGAQGE4XTQAYBAUUC4NQDAICQOCAKAIAQCBJPAMBAMBJFGUBACAQGDYCACBIBB4MTI,981
18,CIBQCAIBCYBAEAICA4FAEBQFBAFRIFIWDQQTUPQAAEAQEBQR,949
19,CIBAIAIEDMPSINAEAIBACAYFBEBQGAICAIUS4AQBAQATUAICAQDAGAIBAI4AEAIEE4VQCAQEBA,946
20,CICAGAIDAQKC4AICAMEQQAIEAENR6JBHGE2DUAICAQDAAAIBAEBTO,797
21,CIBQIAIEDMPSINADAEBAEKJZAQBAEAIDAUEQEAIBAQAQEAICAQYQCAIBAQ5A,767
22,CICAGAIACULCMAICAAEQKAICAYERCFBMAEBAEBIDAIAQEFRUAEAQAAYCAIAAOCAA,744
